1e-31	0	bev	92.04234710354513	87.7081035215457	84.98907722718528	56.97334095145303	50.532473515161925	46.42815127806001	82.65455782217956	64.91477527850022	61.17533637432353	77.22341529239257	67.71845077173595	64.19752162652294	69.71312923021713	2023-05-26-11:37:20.828509
1e-31	1	bev	92.04234710354513	87.7081035215457	84.98907722718528	56.97334095145303	50.532473515161925	46.42815127806001	82.65455782217956	64.91477527850022	61.17533637432353	77.22341529239257	67.71845077173595	64.19752162652294	69.71312923021713	2023-05-26-11:40:59.142711
1e-31	2	bev	92.04234710354513	87.7081035215457	84.98907722718528	56.97334095145303	50.532473515161925	46.42815127806001	82.65455782217956	64.91477527850022	61.17533637432353	77.22341529239257	67.71845077173595	64.19752162652294	69.71312923021713	2023-05-26-11:44:41.423142
1e-31	3	bev	92.04234710354513	87.7081035215457	84.98907722718528	56.97334095145303	50.532473515161925	46.42815127806001	82.65455782217956	64.91477527850022	61.17533637432353	77.22341529239257	67.71845077173595	64.19752162652294	69.71312923021713	2023-05-26-11:48:24.594526
1e-31	4	bev	92.04234710354513	87.7081035215457	84.98907722718528	56.97334095145303	50.532473515161925	46.42815127806001	82.65455782217956	64.91477527850022	61.17533637432353	77.22341529239257	67.71845077173595	64.19752162652294	69.71312923021713	2023-05-26-11:52:08.922800
1e-31	5	bev	92.04234710354513	87.7081035215457	84.98907722718528	56.97334095145303	50.532473515161925	46.42815127806001	82.65455782217956	64.91477527850022	61.17533637432353	77.22341529239257	67.71845077173595	64.19752162652294	69.71312923021713	2023-05-26-11:55:49.239897
1e-31	6	bev	92.04234710354513	87.7081035215457	84.98907722718528	56.97334095145303	50.532473515161925	46.42815127806001	82.65455782217956	64.91477527850022	61.17533637432353	77.22341529239257	67.71845077173595	64.19752162652294	69.71312923021713	2023-05-26-11:59:31.769871
1e-31	7	bev	92.04234710354513	87.7081035215457	84.98907722718528	56.97334095145303	50.532473515161925	46.42815127806001	82.65455782217956	64.91477527850022	61.17533637432353	77.22341529239257	67.71845077173595	64.19752162652294	69.71312923021713	2023-05-26-12:03:14.060655
1e-31	8	bev	92.04234710354513	87.7081035215457	84.98907722718528	56.97334095145303	50.532473515161925	46.42815127806001	82.65455782217956	64.91477527850022	61.17533637432353	77.22341529239257	67.71845077173595	64.19752162652294	69.71312923021713	2023-05-26-12:06:56.023189
1e-31	9	bev	92.04234710354513	87.7081035215457	84.98907722718528	56.97334095145303	50.532473515161925	46.42815127806001	82.65455782217956	64.91477527850022	61.17533637432353	77.22341529239257	67.71845077173595	64.19752162652294	69.71312923021713	2023-05-26-12:10:39.555630
0.05	0	bev	91.9240415782292	86.70557891137145	84.34279843852505	54.33546944111459	48.881897573878405	45.03402810449717	81.54242078638079	63.19917316704712	59.656186228439246	75.93397726857485	66.26221655076566	63.01100425715382	68.40239935883143	2023-05-26-12:14:22.379961
0.05	1	bev	92.79248132199426	86.87883578892988	84.37603337513598	53.84564510748212	47.792723519457994	43.86675441894258	80.28596578583006	61.61229212397119	57.899079365353266	75.64136407176882	65.42795047745302	62.047289053143935	67.70553453412192	2023-05-26-12:18:06.839098
0.05	2	bev	92.27170771234947	87.42806875323653	84.65264890178759	53.30914686492799	46.89946240342146	42.65569479898094	81.5304677892744	64.79652698102797	60.77876223541231	75.70377412218396	66.37468604589532	62.69570197872694	68.2580540489354	2023-05-26-12:21:52.948389
0.05	3	bev	92.06298385557947	87.2948275340048	84.67905179193484	53.54079283917709	47.633362515498526	43.23715420550169	83.45064088148672	64.00956386100789	59.956632742496765	76.35147252541442	66.31258463683707	62.62427957997776	68.4294455807431	2023-05-26-12:25:36.505364
0.05	4	bev	91.59947836389499	87.32330262912046	84.32126218839066	54.85984983394163	48.62167400656976	44.183596898278175	81.32054014357311	64.59805846349232	60.534245826918486	75.92662278046991	66.84767836639419	63.01303497119577	68.59577870601996	2023-05-26-12:29:18.589608
0.05	5	bev	93.00311457257799	87.26626886575166	84.35371017610565	54.42602847235286	49.28109159869194	45.507592746850364	78.77893137115589	61.98045559198634	58.2401500923598	75.4026914720289	66.17593868547664	62.700484338438606	68.09303816531472	2023-05-26-12:32:59.071960
0.05	6	bev	91.71614585612323	87.53255225856579	84.42111597493658	52.024502649230485	46.501125736440976	42.60971864521325	81.67465985888201	64.26794888598836	60.33872261232381	75.13843612141191	66.10054229366504	62.456519077491215	67.89849916418939	2023-05-26-12:36:41.468516
0.05	7	bev	92.0050452159771	87.66634417229481	84.76057514883145	54.947207741806615	48.798212419763544	44.569930190530265	77.33817528219686	61.54211192223582	57.89614671032785	74.76347607999352	66.00222283809806	62.408884016563185	67.72486097821826	2023-05-26-12:40:23.044477
0.05	8	bev	91.36187373809577	86.92657602880196	84.42730600172253	52.982742967998355	47.548865916068536	43.487802287605746	79.83888550500312	61.82856057742557	57.76573106215036	74.72783407036574	65.43466750743202	61.89361311715954	67.35203823165243	2023-05-26-12:44:01.505935
0.05	9	bev	91.50340550108724	87.25875385075142	84.77745375853218	53.743044846764185	47.818347797766414	43.45943161557407	80.64554574846771	61.853310035851436	58.180902347740556	75.29733203210638	65.64347056145643	62.13926257394893	67.69335505583724	2023-05-26-12:47:41.570690
0.1	0	bev	90.45514635743359	84.47875524785765	80.92617098200216	49.55619048966422	44.79675895413918	40.69697725648428	74.48030730809496	59.87447242370908	55.918612589126774	71.49721471839759	63.04999554190197	59.18058694253774	64.57593240094576	2023-05-26-12:51:19.664413
