2023-05-26 11:33:01.132863
s	n	mthd	Car/easy_R40	Car/moderate_R40	Car/hard_R40	Pedestrian/easy_R40	Pedestrian/moderate_R40	Pedestrian/hard_R40	Cyclist/easy_R40	Cyclist/moderate_R40	Cyclist/hard_R40	easy_R40	moderate_R40	hard_R40	avg	time
1e-31	0	3d	86.53951259572938	75.65133476705178	72.45197549599698	50.897225929905574	44.36203073697643	39.607059176070905	79.46962756092675	61.61385041379282	57.499984041574706	72.3021220288539	60.54240530594034	56.51967290454753	63.12140007978059	2023-05-26-11:36:44.999366
1e-31	1	3d	86.53951259572938	75.65133476705178	72.45197549599698	50.897225929905574	44.36203073697643	39.607059176070905	79.46962756092675	61.61385041379282	57.499984041574706	72.3021220288539	60.54240530594034	56.51967290454753	63.12140007978059	2023-05-26-11:40:58.906021
1e-31	2	3d	86.53951259572938	75.65133476705178	72.45197549599698	50.897225929905574	44.36203073697643	39.607059176070905	79.46962756092675	61.61385041379282	57.499984041574706	72.3021220288539	60.54240530594034	56.51967290454753	63.12140007978059	2023-05-26-11:44:41.345987
1e-31	3	3d	86.53951259572938	75.65133476705178	72.45197549599698	50.897225929905574	44.36203073697643	39.607059176070905	79.46962756092675	61.61385041379282	57.499984041574706	72.3021220288539	60.54240530594034	56.51967290454753	63.12140007978059	2023-05-26-11:48:24.592345
1e-31	4	3d	86.53951259572938	75.65133476705178	72.45197549599698	50.897225929905574	44.36203073697643	39.607059176070905	79.46962756092675	61.61385041379282	57.499984041574706	72.3021220288539	60.54240530594034	56.51967290454753	63.12140007978059	2023-05-26-11:52:08.920902
1e-31	5	3d	86.53951259572938	75.65133476705178	72.45197549599698	50.897225929905574	44.36203073697643	39.607059176070905	79.46962756092675	61.61385041379282	57.499984041574706	72.3021220288539	60.54240530594034	56.51967290454753	63.12140007978059	2023-05-26-11:55:48.786051
1e-31	6	3d	86.53951259572938	75.65133476705178	72.45197549599698	50.897225929905574	44.36203073697643	39.607059176070905	79.46962756092675	61.61385041379282	57.499984041574706	72.3021220288539	60.54240530594034	56.51967290454753	63.12140007978059	2023-05-26-11:59:31.765023
1e-31	7	3d	86.53951259572938	75.65133476705178	72.45197549599698	50.897225929905574	44.36203073697643	39.607059176070905	79.46962756092675	61.61385041379282	57.499984041574706	72.3021220288539	60.54240530594034	56.51967290454753	63.12140007978059	2023-05-26-12:03:13.856348
1e-31	8	3d	86.53951259572938	75.65133476705178	72.45197549599698	50.897225929905574	44.36203073697643	39.607059176070905	79.46962756092675	61.61385041379282	57.499984041574706	72.3021220288539	60.54240530594034	56.51967290454753	63.12140007978059	2023-05-26-12:06:55.952799
1e-31	9	3d	86.53951259572938	75.65133476705178	72.45197549599698	50.897225929905574	44.36203073697643	39.607059176070905	79.46962756092675	61.61385041379282	57.499984041574706	72.3021220288539	60.54240530594034	56.51967290454753	63.12140007978059	2023-05-26-12:10:39.553240
0.05	0	3d	85.64067568087985	72.92948058444331	70.00745703497391	46.50991030351111	41.47239693992862	37.531553077817605	74.64480113980866	56.899696778204664	53.26763054469536	68.93179570806655	57.100524767525535	53.60221355249562	59.878178009362564	2023-05-26-12:14:22.378126
0.05	1	3d	85.90734950344874	73.65889324478529	70.04564329212299	46.187296768561616	40.317954019853865	35.980398564779584	76.71187378852984	58.500136540485684	54.75162575391719	69.60217335351341	57.49232793504162	53.59255587027325	60.22901905294275	2023-05-26-12:18:06.837170
0.05	2	3d	86.09646181056367	73.1936602133851	69.99989704161436	46.39115900796248	40.26156049057854	36.191504322957805	77.31837265634915	61.24587172463691	57.159751647719006	69.93533115829177	58.233697476200184	54.450384337430386	60.87313765730745	2023-05-26-12:21:52.667563
0.05	3	3d	84.4361627605377	74.22124397847553	70.12151553138743	46.27147285863372	40.783032028091675	36.30910426860186	80.65318897510828	60.045938718427216	55.92297891035239	70.45360819809322	58.35007157499814	54.117866236780564	60.973848669957306	2023-05-26-12:25:36.462034
0.05	4	3d	84.27726643854646	74.56403588948875	69.92488958688521	47.88588300074409	41.629545975334906	36.97511373442215	77.55522394923857	59.77284305918331	55.933737433392274	69.90612446284304	58.655474974668984	54.277913584899885	60.946504340803976	2023-05-26-12:29:18.584740
0.05	5	3d	82.9735061438303	72.13777048526703	69.06702780918363	49.86861486563975	43.87095644575756	39.81881089035325	74.25309448531824	56.82201978145536	53.80609427338434	69.03173849826277	57.61024890415998	54.23064432430707	60.29087724224327	2023-05-26-12:32:58.843510
0.05	6	3d	84.47572549758875	74.13138542647661	69.33887775819622	39.887273064081434	35.503104862963205	31.96404298948791	78.72429350348052	60.91242398157706	57.198063055287285	67.69576402171691	56.84897142367229	52.833661267657135	59.126132237682114	2023-05-26-12:36:41.414347
0.05	7	3d	83.87469390951466	74.22876503315699	69.82512429265593	46.51723944993596	40.8016871631642	36.57210005288661	75.77050942618862	58.903097712497086	55.139310657067895	68.72081426187974	57.9778499696061	53.84551166753681	60.181391966340875	2023-05-26-12:40:23.041795
0.05	8	3d	84.0843218674602	72.8973130758121	69.81571432119183	43.59344278622104	38.38138306563541	34.22424960649036	73.12254073634573	55.668696565668675	51.853069667536936	66.93343513000899	55.649130902372065	51.964344531739705	58.18230352137358	2023-05-26-12:44:01.399792
0.05	9	3d	84.21228261477098	72.90818649920341	69.89798230464366	46.928565091765094	40.816959537311334	36.2593052386669	75.76051016817115	57.80322382789136	53.644102537147084	68.96711929156908	57.176123288135365	53.26713002681922	59.80345753550788	2023-05-26-12:47:41.568412
0.1	0	3d	59.351079328572176	49.335592401597886	46.47761289634576	31.95249674546509	29.228176829699475	26.02025978865694	70.40175992068875	54.11662324330349	50.483226022182826	53.90177866490867	44.226797491533624	40.993699569061846	46.37409190850137	2023-05-26-12:51:19.661759
0.1	1	3d	78.45779020011211	66.73896665623292	62.72439539498747	30.980558291987396	27.551431513253384	24.59257882137748	73.9936340699386	55.60816995370035	52.09674733435254	61.14399418734604	49.966189374395555	46.47124051690582	52.527141359549134	2023-05-26-12:55:03.084788
0.1	2	3d	79.32096528542395	68.0496125719371	64.12387578901134	41.22276115568791	35.32837997038907	31.73532743033095	67.10096126483909	51.17517163093722	47.6457221883615	62.54822923531699	51.517721391087804	47.83497513590127	53.96697525410201	2023-05-26-12:58:50.443510
0.1	3	3d	78.15365580709377	66.42975694797754	63.65242372622766	45.34241421722133	38.877191351668024	34.646260311966	67.51717384616677	51.52117662924407	48.23319999154474	63.67108129016062	52.27604164296321	48.84396134324614	54.93036142545665	2023-05-26-13:02:33.149959
0.1	4	3d	73.8640895712051	64.38267177828962	61.19168575883679	28.442345530347247	25.343156862104856	22.95635537845116	67.11462519398681	48.421355344445324	44.98729213125337	56.47368676517973	46.049061328279926	43.045111089513775	48.52261972765781	2023-05-26-13:06:16.556630
0.1	5	3d	42.86399595956861	42.70715463374784	41.118897058052035	38.69929137955231	34.24591995366465	30.838581814655917	59.717938464323225	39.318341324917185	36.84180613740092	47.093741934481386	38.75713863744323	36.26642833670296	40.70576963620918	2023-05-26-13:09:59.237734
0.1	6	3d	81.7105631859697	68.1703520948834	63.15723451547719	33.8200609462433	29.36572768699922	25.991773463772255	54.79114380925696	39.92984498036579	36.720074631153665	56.77392264715666	45.821974920749476	41.95636087013437	48.18408614601349	2023-05-26-13:13:48.077934
0.1	7	3d	57.738561909734486	51.84293415514687	50.81194031475774	41.146744265264196	36.167230312318985	32.22480814920042	60.15886418256336	48.10253502753067	44.79037155039188	53.014723452520684	45.370899831665504	42.609040004783346	46.99822109632319	2023-05-26-13:17:33.462667
0.1	8	3d	78.81805680715006	68.25641374658854	65.75237370028135	33.685671032299055	29.161265605980503	25.765195371331046	65.40347486062944	52.14744557332178	48.302828932722086	59.302400900026186	49.8550416419636	46.60679933477817	51.92141395892265	2023-05-26-13:21:10.914324
0.1	9	3d	76.36135901461876	62.59715423581825	59.24511570450491	42.143671035302546	35.49023377038741	31.49053199302608	66.89571673054007	44.65431769217016	41.49982825772716	61.80024892682045	47.58056856612527	44.07849198508605	51.15310315934393	2023-05-26-13:24:56.066860
0.15000000000000002	0	3d	44.810973436483046	37.622973179691044	36.71572495505018	22.947728439164656	19.530643448704048	17.58263940289872	56.973591731884596	38.4655569668496	36.04426969397417	41.577431202510766	31.873057865081563	30.114211350641025	34.521566806077786	2023-05-26-13:28:41.162844
0.15000000000000002	1	3d	41.56840232893001	33.22370672423681	31.601607207827374	34.4611308857208	27.445729499683903	24.328697700559303	59.54214448380426	44.037943208010674	40.77334079464439	45.19055923281835	34.9024598106438	32.234548567677024	37.44252253704639	2023-05-26-13:32:31.435151
0.15000000000000002	2	3d	3.5150645635504554	5.6152644688581335	7.06469150572257	7.348403215785226	7.675435377462415	7.674578603767516	18.270703509286584	15.53279910282534	14.741879869236426	9.711390429540755	9.60783298304863	9.827049992908838	9.715424468499407	2023-05-26-13:36:15.200777
